customer_id,customer_name,email,gender,age,geography,tenure_months,monthly_charges,total_charges,contract_type,payment_method,support_tickets,last_login_date,signup_date,churn_status,churn_date,created_at
81339,Sneha Kumar,customer81339@analyticsplatform.com,Female,75,Chennai,20,1721.61,29611.69,Quarterly,Net Banking,2,2026-05-28,2024-12-25,f,,2026-08-25 16:30:07.785395
81340,Aman Das,customer81340@analyticsplatform.com,Male,69,Pune,72,1972.28,139164.08,Monthly,Net Banking,7,2026-08-17,2020-08-25,f,,2026-08-25 16:30:07.785395
81341,Rahul Patel,customer81341@analyticsplatform.com,Female,21,Bengaluru,38,1352.12,52408.17,Annual,Debit Card,1,2026-07-11,2023-06-25,f,,2026-08-25 16:30:07.785395
81342,Vivaan Bose,customer81342@analyticsplatform.com,Female,68,Kolkata,13,3784.17,42798.96,Annual,Debit Card,5,2026-07-21,2025-07-25,f,,2026-08-25 16:30:07.785395
81343,Nisha Gupta,customer81343@analyticsplatform.com,Male,18,Jaipur,36,2970.25,104790.42,Annual,Debit Card,0,2026-07-18,2023-08-25,f,,2026-08-25 16:30:07.785395
81344,Meera Das,customer81344@analyticsplatform.com,Male,62,Hyderabad,52,3787.99,189096.46,Monthly,Digital Wallet,2,2026-07-25,2022-04-25,f,,2026-08-25 16:30:07.785395
81345,Isha Chopra,customer81345@analyticsplatform.com,Male,18,Mumbai,13,3003.38,37091.74,Monthly,UPI,6,2026-06-13,2025-07-25,f,,2026-08-25 16:30:07.785395
81346,Riya Naidu,customer81346@analyticsplatform.com,Female,25,Nagpur,56,2977.54,143398.33,Quarterly,Debit Card,7,2026-05-23,2021-12-25,f,,2026-08-25 16:30:07.785395
81347,Aryan Mishra,customer81347@analyticsplatform.com,Female,59,Mumbai,18,3138.49,49713.68,Quarterly,Net Banking,2,2026-08-05,2025-02-25,f,,2026-08-25 16:30:07.785395
81348,Meera Jain,customer81348@analyticsplatform.com,Male,20,Bengaluru,35,1163.64,41541.95,Annual,UPI,6,2026-07-30,2023-09-25,f,,2026-08-25 16:30:07.785395
81349,Kunal Singh,customer81349@analyticsplatform.com,Male,21,Kolkata,72,3315.67,217242.70,Quarterly,Credit Card,7,2026-08-04,2020-08-25,f,,2026-08-25 16:30:07.785395
81350,Vivaan Sharma,customer81350@analyticsplatform.com,Male,55,Nagpur,39,1674.24,56154.01,Quarterly,Net Banking,5,2026-05-12,2023-05-25,f,,2026-08-25 16:30:07.785395
81351,Riya Patel,customer81351@analyticsplatform.com,Male,21,Delhi,2,3118.96,5426.99,Annual,Digital Wallet,6,2026-08-06,2026-06-25,t,2026-08-10,2026-08-25 16:30:07.785395
81352,Vivaan Naidu,customer81352@analyticsplatform.com,Male,51,Ahmedabad,63,1278.40,82149.98,Monthly,Digital Wallet,0,2026-06-08,2021-05-25,f,,2026-08-25 16:30:07.785395
81353,Aarav Verma,customer81353@analyticsplatform.com,Female,68,Bengaluru,11,3560.37,39947.35,Quarterly,UPI,7,2026-07-26,2025-09-25,f,,2026-08-25 16:30:07.785395
81354,Priya Yadav,customer81354@analyticsplatform.com,Female,72,Pune,29,604.40,16826.50,Quarterly,UPI,0,2026-06-14,2024-03-25,f,,2026-08-25 16:30:07.785395
81355,Neha Yadav,customer81355@analyticsplatform.com,Male,71,Delhi,24,2605.17,55021.19,Annual,Digital Wallet,4,2026-05-09,2024-08-25,f,,2026-08-25 16:30:07.785395
81356,Rahul Yadav,customer81356@analyticsplatform.com,Male,67,Delhi,33,1870.42,62341.10,Monthly,Credit Card,3,2026-07-29,2023-11-25,f,,2026-08-25 16:30:07.785395
81357,Rohan Mishra,customer81357@analyticsplatform.com,Female,59,Chennai,25,2109.62,48521.26,Annual,UPI,2,2026-07-24,2024-07-25,f,,2026-08-25 16:30:07.785395
81358,Aman Kulkarni,customer81358@analyticsplatform.com,Male,28,Bengaluru,65,2925.69,178759.66,Annual,Debit Card,0,2026-08-21,2021-03-25,f,,2026-08-25 16:30:07.785395
81359,Rohan Das,customer81359@analyticsplatform.com,Female,30,Ahmedabad,71,2362.34,162694.36,Annual,Credit Card,1,2026-05-31,2020-09-25,f,,2026-08-25 16:30:07.785395
81360,Aryan Iyer,customer81360@analyticsplatform.com,Female,35,Pune,63,3880.58,212694.59,Annual,UPI,8,2026-08-18,2021-05-25,f,,2026-08-25 16:30:07.785395
81361,Kunal Shetty,customer81361@analyticsplatform.com,Male,63,Hyderabad,20,2061.31,35454.53,Monthly,Credit Card,3,2026-06-05,2024-12-25,f,,2026-08-25 16:30:07.785395
81362,Meera Joshi,customer81362@analyticsplatform.com,Male,30,Pune,21,1330.83,24034.79,Annual,Digital Wallet,0,2026-05-25,2024-11-25,f,,2026-08-25 16:30:07.785395
81363,Simran Mehta,customer81363@analyticsplatform.com,Female,38,Bengaluru,12,1047.87,12825.93,Quarterly,Digital Wallet,2,2026-07-24,2025-08-25,f,,2026-08-25 16:30:07.785395
81364,Nisha Das,customer81364@analyticsplatform.com,Male,50,Chennai,8,2426.55,20188.90,Monthly,UPI,7,2026-06-19,2025-12-25,t,2026-06-14,2026-08-25 16:30:07.785395
81365,Riya Verma,customer81365@analyticsplatform.com,Male,18,Pune,34,1451.92,47884.32,Monthly,Net Banking,5,2026-06-29,2023-10-25,f,,2026-08-25 16:30:07.785395
81366,Riya Nair,customer81366@analyticsplatform.com,Male,44,Ahmedabad,49,2387.11,109950.29,Quarterly,Credit Card,7,2026-07-29,2022-07-25,f,,2026-08-25 16:30:07.785395
81367,Diya Gupta,customer81367@analyticsplatform.com,Male,67,Nagpur,55,2800.00,149380.00,Quarterly,Debit Card,5,2026-07-29,2022-01-25,f,,2026-08-25 16:30:07.785395
81368,Sakshi Deshmukh,customer81368@analyticsplatform.com,Male,73,Delhi,19,1966.21,36237.25,Quarterly,Net Banking,1,2026-08-23,2025-01-25,f,,2026-08-25 16:30:07.785395
81369,Nisha Sharma,customer81369@analyticsplatform.com,Male,37,Chennai,66,1786.20,121425.88,Monthly,UPI,0,2026-06-06,2021-02-25,f,,2026-08-25 16:30:07.785395
81370,Vihaan Das,customer81370@analyticsplatform.com,Female,32,Chennai,8,586.37,4268.77,Annual,Credit Card,5,2026-05-25,2025-12-25,f,,2026-08-25 16:30:07.785395
81371,Aditya Shetty,customer81371@analyticsplatform.com,Male,21,Ahmedabad,32,2312.36,73995.52,Monthly,UPI,4,2026-06-12,2023-12-25,f,,2026-08-25 16:30:07.785395
81372,Pooja Mishra,customer81372@analyticsplatform.com,Male,53,Kolkata,10,3143.45,27976.71,Annual,Debit Card,0,2026-08-19,2025-10-25,f,,2026-08-25 16:30:07.785395
81373,Kabir Naidu,customer81373@analyticsplatform.com,Female,30,Mumbai,35,2228.16,67847.47,Annual,Credit Card,4,2026-08-14,2023-09-25,f,,2026-08-25 16:30:07.785395
81374,Pooja Iyer,customer81374@analyticsplatform.com,Female,54,Jaipur,27,710.13,16489.22,Monthly,Net Banking,7,2026-05-31,2024-05-25,f,,2026-08-25 16:30:07.785395
81375,Siddharth Iyer,customer81375@analyticsplatform.com,Female,22,Hyderabad,45,2500.52,112523.40,Quarterly,Credit Card,8,2026-06-22,2022-11-25,t,2025-05-15,2026-08-25 16:30:07.785395
81376,Sakshi Mishra,customer81376@analyticsplatform.com,Female,35,Hyderabad,36,1023.24,31311.14,Quarterly,Net Banking,1,2026-07-28,2023-08-25,f,,2026-08-25 16:30:07.785395
81377,Aditi Naidu,customer81377@analyticsplatform.com,Female,66,Nagpur,30,3163.09,81607.72,Monthly,Digital Wallet,1,2026-07-15,2024-02-25,f,,2026-08-25 16:30:07.785395
81378,Krishna Verma,customer81378@analyticsplatform.com,Male,39,Delhi,70,2858.43,182081.99,Monthly,Credit Card,8,2026-05-26,2020-10-25,f,,2026-08-25 16:30:07.785395
81379,Rahul Singh,customer81379@analyticsplatform.com,Male,55,Delhi,7,2845.56,18922.97,Quarterly,Debit Card,2,2026-05-03,2026-01-25,f,,2026-08-25 16:30:07.785395
81380,Reyansh Sharma,customer81380@analyticsplatform.com,Female,22,Hyderabad,14,3517.78,45309.01,Quarterly,UPI,3,2026-05-24,2025-06-25,f,,2026-08-25 16:30:07.785395
81381,Riya Khalse,customer81381@analyticsplatform.com,Female,44,Hyderabad,27,501.63,13273.13,Annual,UPI,2,2026-08-04,2024-05-25,f,,2026-08-25 16:30:07.785395
81382,Ananya Mehta,customer81382@analyticsplatform.com,Female,51,Chennai,21,3850.07,76808.90,Annual,Debit Card,4,2026-06-13,2024-11-25,f,,2026-08-25 16:30:07.785395
81383,Aarav Deshmukh,customer81383@analyticsplatform.com,Male,56,Jaipur,45,1976.74,87174.23,Annual,Credit Card,3,2026-05-17,2022-11-25,f,,2026-08-25 16:30:07.785395
81384,Krishna Kumar,customer81384@analyticsplatform.com,Male,38,Hyderabad,26,2930.23,70852.96,Annual,Digital Wallet,5,2026-08-12,2024-06-25,f,,2026-08-25 16:30:07.785395
81385,Nisha Khalse,customer81385@analyticsplatform.com,Female,41,Ahmedabad,72,3713.65,243318.35,Monthly,Net Banking,6,2026-08-07,2020-08-25,f,,2026-08-25 16:30:07.785395
81386,Nisha Nair,customer81386@analyticsplatform.com,Male,51,Pune,4,1829.43,6951.83,Monthly,Debit Card,3,2026-06-23,2026-04-25,t,2026-07-28,2026-08-25 16:30:07.785395
81387,Aanya Joshi,customer81387@analyticsplatform.com,Male,44,Pune,49,2052.09,99546.89,Annual,Digital Wallet,8,2026-08-08,2022-07-25,f,,2026-08-25 16:30:07.785395
81388,Diya Reddy,customer81388@analyticsplatform.com,Male,40,Ahmedabad,12,2818.81,31457.92,Quarterly,Digital Wallet,4,2026-08-23,2025-08-25,f,,2026-08-25 16:30:07.785395
81389,Aditya Gupta,customer81389@analyticsplatform.com,Female,63,Hyderabad,37,837.31,32219.69,Quarterly,Credit Card,4,2026-05-30,2023-07-25,f,,2026-08-25 16:30:07.785395
81390,Arjun Joshi,customer81390@analyticsplatform.com,Male,56,Hyderabad,61,1121.83,60904.15,Monthly,Debit Card,0,2026-04-30,2021-07-25,f,,2026-08-25 16:30:07.785395
81391,Aryan Mehta,customer81391@analyticsplatform.com,Male,25,Chennai,28,3912.47,111740.14,Annual,UPI,3,2026-05-26,2024-04-25,f,,2026-08-25 16:30:07.785395
81392,Aman Singh,customer81392@analyticsplatform.com,Female,74,Chennai,36,2718.28,92965.18,Annual,Digital Wallet,6,2026-05-31,2023-08-25,f,,2026-08-25 16:30:07.785395
81393,Siddharth Bose,customer81393@analyticsplatform.com,Male,19,Ahmedabad,27,2973.73,77079.08,Monthly,Debit Card,7,2026-07-31,2024-05-25,f,,2026-08-25 16:30:07.785395
81394,Akash Gupta,customer81394@analyticsplatform.com,Male,39,Mumbai,50,2180.13,105736.30,Annual,UPI,4,2026-05-25,2022-06-25,f,,2026-08-25 16:30:07.785395
81395,Rahul Joshi,customer81395@analyticsplatform.com,Male,61,Jaipur,29,532.23,15434.67,Annual,Credit Card,6,2026-07-02,2024-03-25,f,,2026-08-25 16:30:07.785395
81396,Kavya Shah,customer81396@analyticsplatform.com,Male,66,Chennai,49,1007.89,43954.08,Annual,UPI,1,2026-06-10,2022-07-25,f,,2026-08-25 16:30:07.785395
81397,Reyansh Verma,customer81397@analyticsplatform.com,Male,32,Kolkata,21,1153.38,21556.67,Monthly,Digital Wallet,2,2026-08-17,2024-11-25,f,,2026-08-25 16:30:07.785395
81398,Aanya Roy,customer81398@analyticsplatform.com,Female,52,Hyderabad,58,3592.60,197952.26,Monthly,Net Banking,8,2026-07-28,2021-10-25,f,,2026-08-25 16:30:07.785395
81399,Kunal Naidu,customer81399@analyticsplatform.com,Female,30,Nagpur,7,1887.08,12020.70,Monthly,UPI,4,2026-08-11,2026-01-25,f,,2026-08-25 16:30:07.785395
81400,Pooja Roy,customer81400@analyticsplatform.com,Male,41,Ahmedabad,27,1770.71,49721.54,Annual,UPI,1,2026-07-31,2024-05-25,f,,2026-08-25 16:30:07.785395
81401,Pooja Shah,customer81401@analyticsplatform.com,Female,30,Bengaluru,59,2147.07,126677.13,Quarterly,UPI,3,2026-05-13,2021-09-25,f,,2026-08-25 16:30:07.785395
81402,Aryan Patel,customer81402@analyticsplatform.com,Female,70,Delhi,37,1843.48,58659.53,Monthly,UPI,8,2026-08-18,2023-07-25,f,,2026-08-25 16:30:07.785395
81403,Aman Roy,customer81403@analyticsplatform.com,Female,34,Hyderabad,49,2083.98,101093.87,Monthly,UPI,6,2026-08-21,2022-07-25,t,2023-11-26,2026-08-25 16:30:07.785395
81404,Vihaan Shetty,customer81404@analyticsplatform.com,Male,22,Jaipur,19,3317.73,65558.34,Quarterly,Credit Card,5,2026-06-29,2025-01-25,f,,2026-08-25 16:30:07.785395
81405,Aditya Gupta,customer81405@analyticsplatform.com,Male,58,Nagpur,50,928.45,45494.05,Monthly,Credit Card,4,2026-07-31,2022-06-25,f,,2026-08-25 16:30:07.785395
81406,Tanvi Shah,customer81406@analyticsplatform.com,Male,19,Kolkata,14,1117.69,15491.18,Monthly,Digital Wallet,0,2026-08-10,2025-06-25,f,,2026-08-25 16:30:07.785395
81407,Reyansh Gupta,customer81407@analyticsplatform.com,Female,21,Pune,51,2963.77,134525.52,Monthly,Credit Card,5,2026-05-13,2022-05-25,t,2023-06-15,2026-08-25 16:30:07.785395
81408,Arjun Kulkarni,customer81408@analyticsplatform.com,Male,32,Hyderabad,27,2224.59,58262.01,Annual,Debit Card,7,2026-08-17,2024-05-25,f,,2026-08-25 16:30:07.785395
81409,Simran Yadav,customer81409@analyticsplatform.com,Female,58,Mumbai,70,2520.90,181756.89,Quarterly,Net Banking,0,2026-05-28,2020-10-25,f,,2026-08-25 16:30:07.785395
81410,Meera Sharma,customer81410@analyticsplatform.com,Female,36,Hyderabad,32,3577.72,115631.91,Quarterly,Digital Wallet,6,2026-05-09,2023-12-25,f,,2026-08-25 16:30:07.785395
81411,Isha Shetty,customer81411@analyticsplatform.com,Female,51,Delhi,33,2786.27,87349.56,Monthly,Credit Card,1,2026-05-21,2023-11-25,f,,2026-08-25 16:30:07.785395
81412,Nisha Verma,customer81412@analyticsplatform.com,Male,54,Kolkata,53,1426.12,68025.92,Quarterly,Net Banking,5,2026-05-13,2022-03-25,f,,2026-08-25 16:30:07.785395
81413,Aanya Yadav,customer81413@analyticsplatform.com,Female,35,Delhi,64,878.97,55129.00,Monthly,Net Banking,7,2026-07-29,2021-04-25,t,2024-06-27,2026-08-25 16:30:07.785395
81414,Vivaan Das,customer81414@analyticsplatform.com,Male,44,Nagpur,46,3733.02,156264.22,Annual,UPI,6,2026-04-30,2022-10-25,f,,2026-08-25 16:30:07.785395
81415,Priya Deshmukh,customer81415@analyticsplatform.com,Female,57,Pune,40,1781.44,72682.75,Quarterly,Digital Wallet,0,2026-05-23,2023-04-25,f,,2026-08-25 16:30:07.785395
81416,Diya Reddy,customer81416@analyticsplatform.com,Female,69,Pune,11,2134.37,23478.07,Annual,Credit Card,3,2026-07-28,2025-09-25,f,,2026-08-25 16:30:07.785395
81417,Sneha Singh,customer81417@analyticsplatform.com,Female,26,Pune,8,2806.11,21326.44,Quarterly,Credit Card,7,2026-05-19,2025-12-25,f,,2026-08-25 16:30:07.785395
81418,Ishaan Patel,customer81418@analyticsplatform.com,Male,34,Bengaluru,54,2492.31,125163.81,Monthly,Credit Card,0,2026-05-24,2022-02-25,f,,2026-08-25 16:30:07.785395
81419,Rahul Roy,customer81419@analyticsplatform.com,Male,50,Mumbai,1,1631.76,1533.85,Quarterly,UPI,8,2026-07-28,2026-07-25,f,,2026-08-25 16:30:07.785395
81420,Sakshi Das,customer81420@analyticsplatform.com,Female,59,Mumbai,45,3796.04,158864.27,Monthly,UPI,0,2026-05-05,2022-11-25,f,,2026-08-25 16:30:07.785395
81421,Diya Mishra,customer81421@analyticsplatform.com,Female,57,Delhi,5,1152.44,5301.22,Annual,Net Banking,6,2026-07-25,2026-03-25,f,,2026-08-25 16:30:07.785395
81422,Diya Singh,customer81422@analyticsplatform.com,Female,48,Pune,18,1912.56,30294.95,Annual,Digital Wallet,1,2026-05-28,2025-02-25,f,,2026-08-25 16:30:07.785395
81423,Reyansh Das,customer81423@analyticsplatform.com,Female,74,Pune,22,1815.38,39139.59,Quarterly,Digital Wallet,7,2026-08-08,2024-10-25,f,,2026-08-25 16:30:07.785395
81424,Diya Shetty,customer81424@analyticsplatform.com,Male,31,Jaipur,4,3535.52,13434.98,Quarterly,Debit Card,4,2026-05-30,2026-04-25,f,,2026-08-25 16:30:07.785395
81425,Sneha Gupta,customer81425@analyticsplatform.com,Male,24,Nagpur,72,1623.62,114562.63,Annual,Net Banking,1,2026-05-21,2020-08-25,f,,2026-08-25 16:30:07.785395
81426,Rahul Yadav,customer81426@analyticsplatform.com,Male,37,Ahmedabad,54,2498.05,133545.75,Monthly,Debit Card,8,2026-05-17,2022-02-25,f,,2026-08-25 16:30:07.785395
81427,Simran Yadav,customer81427@analyticsplatform.com,Male,29,Jaipur,35,747.28,22493.13,Quarterly,Net Banking,1,2026-07-28,2023-09-25,f,,2026-08-25 16:30:07.785395
81428,Aryan Bose,customer81428@analyticsplatform.com,Female,45,Bengaluru,27,1989.77,52649.31,Monthly,UPI,8,2026-05-23,2024-05-25,f,,2026-08-25 16:30:07.785395
81429,Ishaan Chopra,customer81429@analyticsplatform.com,Male,60,Kolkata,6,1650.29,10198.79,Monthly,UPI,8,2026-05-07,2026-02-25,f,,2026-08-25 16:30:07.785395
81430,Arjun Singh,customer81430@analyticsplatform.com,Female,28,Pune,50,2877.49,136680.77,Quarterly,Net Banking,8,2026-07-06,2022-06-25,f,,2026-08-25 16:30:07.785395
81431,Ishaan Singh,customer81431@analyticsplatform.com,Female,45,Jaipur,31,3679.40,104936.49,Quarterly,Credit Card,3,2026-06-01,2024-01-25,f,,2026-08-25 16:30:07.785395
81432,Priya Chopra,customer81432@analyticsplatform.com,Female,19,Pune,25,3357.34,72182.81,Monthly,Debit Card,0,2026-08-11,2024-07-25,f,,2026-08-25 16:30:07.785395
81433,Siddharth Sharma,customer81433@analyticsplatform.com,Female,74,Hyderabad,40,2474.19,97977.92,Monthly,Digital Wallet,2,2026-04-30,2023-04-25,f,,2026-08-25 16:30:07.785395
81434,Kavya Yadav,customer81434@analyticsplatform.com,Female,49,Mumbai,25,2880.92,72023.00,Quarterly,Digital Wallet,1,2026-05-13,2024-07-25,f,,2026-08-25 16:30:07.785395
